layout,error_type,error,lost_rows,neg_control_mean,pos_control_mean,neg_stdev,pos_stdev,Zfactor_expected,SSMD_expected,Zfactor_raw,SSMD_raw,Zfactor_norm,SSMD_norm
PLAID,bowl-nl,0.05,0,100.44921180758678,36.21005739575832,4.2601708738465796,4.449700372087489,0.5932447433805119,-10.427982198045394,0.008146310590344985,-3.838554813132403,0.27937006532547126,-5.8657373966020705
PLAID,bowl-nl,0.05,1,101.20651226276289,38.31289340573993,3.240367027969375,2.702397255352559,0.7165325644483086,-14.905990827501709,-1.1217991850634248,-1.6078695311498592,0.2650958580092633,-5.651689523013749
PLAID,bowl-nl,0.05,2,99.52673981673655,34.86077211117767,3.508254843783927,5.757179102178113,0.5701556348085599,-9.591679973316445,-2.312920660425823,-1.06380976490728,0.27345941617285474,-5.805973040216381
PLAID,bowl-nl,0.05,0,101.41261843443044,35.52340559160884,3.15033684204528,4.043638231607819,0.6724513119857286,-12.853983283625082,0.047708519462366095,-4.298955909897872,0.40844089031770425,-6.8783065997949455
PLAID,bowl-nl,0.05,1,98.11687900666175,38.86516019196974,4.295966010934312,7.73507921130917,0.39085082443581665,-6.696636929780544,-1.5779826569533455,-1.5584243098601884,0.1761113605479402,-5.0101748519496425
PLAID,bowl-nl,0.05,2,99.54229066053975,35.57551729496341,5.248578755201353,4.129014309945054,0.5601969942323393,-9.578661911397116,-2.100005787751213,-1.2297057269214478,0.3519398465400183,-6.511835891488036
PLAID,bowl-nl,0.05,0,99.20613169544183,34.657476943645186,6.213165158970133,7.5245876365523126,0.3615163856622402,-6.614798659305174,-0.29115562090685665,-3.2311924343599774,0.23263948991514416,-5.528027233231902
PLAID,bowl-nl,0.05,1,102.6292259159258,34.67735124808013,5.753718213568358,5.231940452084428,0.5149953381263614,-8.7377784694568,-1.3425619984629535,-1.6548103085730954,0.45522745654469066,-7.78735944031514
PLAID,bowl-nl,0.05,2,100.67675554270895,36.731670424494375,4.28936189562454,5.3209852784899105,0.5491281078280883,-9.356107807954887,-1.536652086485128,-1.5896151632770732,0.34761236590465483,-6.503178836312682
PLAID,bowl-nl,0.05,0,99.85309917047482,39.663118362226584,3.4540290242114366,6.110320397327248,0.5232919519275864,-8.575295428119064,-0.3714435710024744,-3.093193077816523,0.3533848532065661,-6.494023532384273
PLAID,bowl-nl,0.05,1,98.60462237546139,35.50711306860933,5.19177537168631,2.856708902214805,0.6173311262686993,-10.647898879201273,-0.1828940906128691,-3.586318893194394,0.36775529942738794,-6.650717012101624
PLAID,bowl-nl,0.05,2,99.91089987995755,38.306070170354204,5.151504107119895,5.363416782200905,0.4879498439219774,-8.283913781402209,-1.400956214553108,-1.6676995525272675,0.24802622772949035,-5.636650310365292
PLAID,bowl-nl,0.05,0,98.01514807004438,37.52542328434348,5.121322607012768,6.3060299540761084,0.4332581640151464,-7.446111191494258,-0.4246477763776735,-2.889409795374195,-0.19410323742778002,-3.537383063445524
PLAID,bowl-nl,0.05,1,98.12720986468003,35.755487153711556,4.719753482783455,5.4063065629369875,0.5129494774750043,-8.690931303475585,-1.661261457375685,-1.5061776786401173,0.29685813460930344,-5.970572978172552
PLAID,bowl-nl,0.05,2,99.05979705923686,35.06985959078568,6.248179478976478,5.231069281932274,0.46182559875597584,-7.852629598014121,-2.784222741966765,-0.9996771085850598,-0.24016108183853535,-3.3754301237356987
PLAID,bowl-nl,0.05,0,99.546347201738,33.82887599061686,5.409115111120427,7.2635181486591875,0.42149478550073594,-7.256518644659672,-0.4006532968084202,-2.6990232646550427,-0.18735767729683594,-3.4104873692149256
PLAID,bowl-nl,0.05,1,101.70587924850521,36.843986504956845,5.396704780196015,3.3116884929426607,0.5972183555803707,-10.243830048665139,-1.6912042085903933,-1.4618620824800743,0.18589572359002726,-4.828482917049329
PLAID,bowl-nl,0.05,2,99.34284807093326,41.17403152606712,3.7223129785629756,1.3177399370277252,0.7400641848178261,-14.73121556027846,-3.188328722164777,-0.9466729571532964,0.08406576711663405,-4.095061986400383
PLAID,bowl-nl,0.05,0,98.82648101194617,38.601717816103324,6.792763910328687,4.058432005801742,0.4594650768068379,-7.611049341881237,-0.2710091640913821,-2.9537854861682553,0.13335401173033867,-4.892150927864484
PLAID,bowl-nl,0.05,1,98.88816798845944,34.457492915447176,2.894600421311133,5.545442266590854,0.6070174953930962,-10.299928209269808,-1.35195091769218,-1.6836089077788707,0.4072926008764026,-7.0788862190369795
PLAID,bowl-nl,0.05,2,100.02338787282486,35.810986546447644,2.864620295473191,8.179525511533242,0.48401809095077175,-7.40914414614409,-1.3328311175450858,-1.7354098999890937,0.2219383605409766,-5.246316150861578
